City,Latitude,Longitude,Crime_Type,Date,Time,Severity_Score,Weather_Condition,Patrol_Presence
Bassi,26.8394,76.0411,Theft,05-02-2023,22:46,6,Cloudy,Yes
Shahpura,27.3913,75.9595,Robbery,04-06-2023,2:2,8,Rainy,Yes
Phulera,26.8732,75.2433,Robbery,11-08-2023,7:56,8,Clear,Yes
Sambhar,26.9131,75.1914,Fraud,14-08-2023,0:49,1,Cloudy,No
Paota,27.3763,76.0405,Theft,05-02-2023,12:26,2,Cloudy,No
Sambhar,26.9131,75.1914,Robbery,12-03-2023,1:39,7,Cloudy,No
Chomu,27.17,75.7221,Robbery,28-10-2023,22:47,6,Clear,No
Sindhi Camp,26.9216,75.796,Murder,27-08-2023,1:11,4,Foggy,No
Paota,27.3763,76.0405,Vandalism,24-06-2023,19:48,7,Clear,Yes
Jagatpura,26.8626,75.847,Fraud,22-01-2023,15:15,6,Foggy,Yes
Kot Khawada,26.7972,75.67,Pickpocket,03-08-2023,0:49,10,Stormy,No
Gopalpura,26.8815,75.789,Vandalism,20-04-2023,16:24,7,Cloudy,No
Mauzamabad,26.5215,75.488,Assault,20-12-2023,8:29,8,Foggy,No
Paota,27.3763,76.0405,Vandalism,07-10-2023,17:16,5,Stormy,Yes
Bapu Nagar,26.8926,75.812,Burglary,06-10-2023,9:54,7,Clear,No
Vaishali Nagar,26.922,75.7411,Fraud,07-01-2023,1:14,6,Foggy,No
Chaksu,26.6052,75.9481,Murder,07-05-2023,8:55,4,Rainy,No
Viratnagar,27.3189,76.1833,Fraud,28-06-2023,22:56,5,Cloudy,No
Tonk Road,26.8537,75.805,Theft,26-09-2023,18:25,7,Stormy,No
Bassi,26.8394,76.0411,Pickpocket,13-11-2023,13:35,10,Clear,Yes
Vaishali Nagar,26.922,75.7411,Vandalism,30-10-2023,5:24,5,Cloudy,No
Sambhar,26.9131,75.1914,Fraud,14-05-2023,16:32,5,Stormy,Yes
Kot Khawada,26.7972,75.67,Murder,29-03-2023,12:32,4,Foggy,No
Jaipur,26.9124,75.7873,Assault,21-03-2023,15:28,3,Clear,No
Shahpura,27.3913,75.9595,Theft,16-01-2023,1:22,9,Foggy,No
Kishangarh-Renwal,26.7536,75.565,Burglary,05-11-2023,5:29,9,Rainy,No
Raja Park,26.8996,75.8277,Murder,21-08-2023,21:30,7,Cloudy,Yes
Chaksu,26.6052,75.9481,Theft,10-01-2023,18:6,8,Stormy,No
Phulera,26.8732,75.2433,Theft,15-06-2023,20:10,2,Cloudy,No
Sambhar,26.9131,75.1914,Assault,15-07-2023,10:45,10,Stormy,No
Viratnagar,27.3189,76.1833,Vandalism,12-02-2023,8:11,7,Stormy,Yes
Jamwa Ramgarh,26.964,75.876,Fraud,24-10-2023,13:6,7,Cloudy,No
Malviya Nagar,26.8526,75.818,Vandalism,25-02-2023,21:34,7,Rainy,No
Shahpura,27.3913,75.9595,Vandalism,06-03-2023,11:34,7,Stormy,Yes
Amber,26.9948,75.8513,Vandalism,21-06-2023,13:8,4,Stormy,Yes
Viratnagar,27.3189,76.1833,Murder,03-12-2023,5:25,8,Foggy,Yes
Kishangarh-Renwal,26.7536,75.565,Theft,03-03-2023,7:15,2,Stormy,No
Gopalpura,26.8815,75.789,Pickpocket,01-11-2023,12:19,1,Rainy,No
Tonk Road,26.8537,75.805,Burglary,04-10-2023,15:18,4,Cloudy,No
Chaksu,26.6052,75.9481,Vandalism,24-10-2023,18:18,5,Stormy,No
Dudu,26.7043,75.585,Fraud,25-01-2023,18:18,5,Rainy,Yes
Phulera,26.8732,75.2433,Fraud,18-09-2023,7:41,2,Cloudy,No
Sindhi Camp,26.9216,75.796,Theft,19-07-2023,0:41,4,Stormy,No
Bapu Nagar,26.8926,75.812,Burglary,06-06-2023,20:1,10,Foggy,Yes
Vaishali Nagar,26.922,75.7411,Assault,18-08-2023,1:38,8,Clear,Yes
Chomu,27.17,75.7221,Burglary,25-09-2023,8:46,9,Foggy,Yes
Sambhar,26.9131,75.1914,Burglary,30-09-2023,15:38,4,Cloudy,Yes
Bassi,26.8394,76.0411,Vandalism,16-06-2023,7:59,4,Stormy,Yes
Gopalpura,26.8815,75.789,Pickpocket,12-08-2023,6:57,8,Stormy,Yes
Phulera,26.8732,75.2433,Robbery,07-11-2023,15:45,3,Cloudy,Yes
Bapu Nagar,26.8926,75.812,Murder,22-06-2023,2:13,8,Foggy,Yes
Phulera,26.8732,75.2433,Assault,30-09-2023,11:45,7,Clear,Yes
Jamwa Ramgarh,26.964,75.876,Pickpocket,11-12-2023,20:6,7,Rainy,No
Vaishali Nagar,26.922,75.7411,Assault,16-07-2023,23:14,7,Foggy,No
C-Scheme,26.9124,75.7873,Burglary,02-05-2023,16:52,6,Cloudy,Yes
C-Scheme,26.9124,75.7873,Pickpocket,30-06-2023,3:29,6,Clear,Yes
Kishangarh-Renwal,26.7536,75.565,Murder,18-05-2023,15:17,10,Stormy,Yes
C-Scheme,26.9124,75.7873,Theft,02-12-2023,0:0,8,Cloudy,Yes
Sambhar,26.9131,75.1914,Theft,17-01-2023,16:44,2,Stormy,No
Sambhar,26.9131,75.1914,Theft,30-05-2023,7:38,5,Stormy,Yes
Mauzamabad,26.5215,75.488,Pickpocket,07-07-2023,4:58,5,Rainy,Yes
Viratnagar,27.3189,76.1833,Vandalism,28-05-2023,23:32,6,Cloudy,Yes
Shahpura,27.3913,75.9595,Pickpocket,03-10-2023,19:58,10,Stormy,No
Chomu,27.17,75.7221,Vandalism,27-08-2023,20:42,9,Clear,No
Kishangarh-Renwal,26.7536,75.565,Pickpocket,06-10-2023,14:38,1,Rainy,Yes
Malviya Nagar,26.8526,75.818,Pickpocket,21-02-2023,15:10,2,Rainy,No
Mauzmabad,26.5215,75.488,Murder,06-05-2023,20:49,1,Rainy,No
Bassi,26.8394,76.0411,Fraud,23-11-2023,8:57,9,Stormy,Yes
Chaksu,26.6052,75.9481,Murder,01-06-2023,20:5,1,Rainy,No
Jaipur,26.9124,75.7873,Theft,27-05-2023,17:29,1,Cloudy,Yes
C-Scheme,26.9124,75.7873,Burglary,16-11-2023,5:21,5,Cloudy,Yes
C-Scheme,26.9124,75.7873,Vandalism,21-12-2023,5:19,3,Clear,Yes
Mauzamabad,26.5215,75.488,Burglary,13-11-2023,7:15,5,Foggy,No
Sambhar,26.9131,75.1914,Murder,01-10-2023,21:35,3,Cloudy,Yes
Dudu,26.7043,75.585,Robbery,10-03-2023,22:1,7,Foggy,No
Bassi,26.8394,76.0411,Fraud,31-12-2023,10:52,9,Stormy,Yes
Amber,26.9948,75.8513,Robbery,13-05-2023,15:6,6,Rainy,No
Dudu,26.7043,75.585,Theft,28-06-2023,4:32,5,Foggy,Yes
Sanganer,26.8191,75.8028,Assault,30-10-2023,17:26,7,Clear,Yes
Mauzamabad,26.5215,75.488,Pickpocket,09-01-2023,14:1,4,Clear,Yes
Mansarovar,26.8648,75.759,Assault,15-10-2023,22:18,10,Stormy,No
Kotputli,27.7025,76.1996,Murder,21-02-2023,7:54,3,Cloudy,No
Bapu Nagar,26.8926,75.812,Pickpocket,05-01-2023,18:48,6,Foggy,No
Viratnagar,27.3189,76.1833,Assault,08-01-2023,16:11,3,Stormy,No
Chaksu,26.6052,75.9481,Murder,23-06-2023,17:7,3,Rainy,Yes
Kishangarh-Renwal,26.7536,75.565,Fraud,12-05-2023,21:46,6,Stormy,Yes
Mansarovar,26.8648,75.759,Assault,07-10-2023,17:39,5,Stormy,No
Amber,26.9948,75.8513,Assault,01-05-2023,5:21,6,Cloudy,No
Kotputli,27.7025,76.1996,Murder,24-07-2023,11:14,7,Clear,Yes
Bapu Nagar,26.8926,75.812,Theft,04-04-2023,14:52,4,Cloudy,Yes
Phulera,26.8732,75.2433,Fraud,30-12-2023,8:45,6,Cloudy,No
Vaishali Nagar,26.922,75.7411,Murder,25-06-2023,14:56,3,Foggy,No
Raja Park,26.8996,75.8277,Fraud,17-03-2023,1:11,10,Stormy,Yes
Mauzmabad,26.5215,75.488,Pickpocket,24-03-2023,1:8,4,Stormy,Yes
Sindhi Camp,26.9216,75.796,Assault,25-04-2023,3:42,9,Clear,No
Phagi,26.5873,75.6671,Theft,14-01-2023,2:6,3,Stormy,No
Bassi,26.8394,76.0411,Theft,27-07-2023,13:42,8,Foggy,Yes
Shahpura,27.3913,75.9595,Vandalism,01-11-2023,4:38,10,Cloudy,Yes
Mauzamabad,26.5215,75.488,Murder,13-08-2023,1:26,10,Clear,Yes
Jamwa Ramgarh,26.964,75.876,Pickpocket,22-09-2023,15:13,10,Foggy,No
Jamwa Ramgarh,26.964,75.876,Vandalism,06-10-2023,4:7,4,Cloudy,Yes
Mansarovar,26.8648,75.759,Assault,20-11-2023,0:15,10,Rainy,No
Paota,27.3763,76.0405,Vandalism,03-07-2023,16:0,10,Rainy,No
Tonk Road,26.8537,75.805,Robbery,29-10-2023,5:20,5,Clear,Yes
Kishangarh-Renwal,26.7536,75.565,Assault,10-10-2023,3:38,1,Cloudy,Yes
Sindhi Camp,26.9216,75.796,Robbery,09-01-2023,1:38,1,Foggy,No
Sindhi Camp,26.9216,75.796,Assault,29-04-2023,12:26,3,Cloudy,No
Dudu,26.7043,75.585,Vandalism,27-01-2023,7:0,10,Cloudy,Yes
Ajmer Road,26.9117,75.7437,Robbery,12-04-2023,20:20,5,Stormy,No
Sambhar,26.9131,75.1914,Pickpocket,12-04-2023,12:3,9,Rainy,Yes
Bapu Nagar,26.8926,75.812,Theft,25-02-2023,15:53,10,Clear,Yes
Chomu,27.17,75.7221,Murder,30-08-2023,12:31,5,Cloudy,No
Dudu,26.7043,75.585,Pickpocket,18-01-2023,13:43,4,Clear,No
Ajmer Road,26.9117,75.7437,Theft,02-05-2023,22:33,1,Stormy,Yes
Mansarovar,26.8648,75.759,Murder,27-02-2023,14:58,7,Foggy,Yes
Dudu,26.7043,75.585,Vandalism,10-09-2023,4:35,8,Stormy,Yes
Vaishali Nagar,26.922,75.7411,Pickpocket,13-07-2023,16:8,2,Clear,No
Mansarovar,26.8648,75.759,Fraud,30-12-2023,8:15,5,Rainy,Yes
Bapu Nagar,26.8926,75.812,Vandalism,01-11-2023,9:55,6,Stormy,Yes
Malviya Nagar,26.8526,75.818,Robbery,22-06-2023,6:32,6,Foggy,Yes
Bapu Nagar,26.8926,75.812,Assault,06-08-2023,7:42,3,Foggy,Yes
Malviya Nagar,26.8526,75.818,Murder,28-10-2023,9:34,7,Cloudy,Yes
Ajmer Road,26.9117,75.7437,Vandalism,17-10-2023,2:1,7,Stormy,No
Phulera,26.8732,75.2433,Pickpocket,24-10-2023,20:26,6,Foggy,No
Sanganer,26.8191,75.8028,Burglary,26-04-2023,20:16,5,Cloudy,No
Tonk Road,26.8537,75.805,Murder,12-12-2023,9:53,6,Foggy,Yes
Kishangarh-Renwal,26.7536,75.565,Murder,22-01-2023,16:59,4,Foggy,No
Ajmer Road,26.9117,75.7437,Robbery,11-04-2023,20:19,9,Clear,No
Vaishali Nagar,26.922,75.7411,Robbery,19-11-2023,10:40,1,Cloudy,No
Mansarovar,26.8648,75.759,Robbery,20-11-2023,20:0,7,Foggy,Yes
Vaishali Nagar,26.922,75.7411,Theft,13-10-2023,0:10,2,Stormy,Yes
Viratnagar,27.3189,76.1833,Vandalism,14-11-2023,4:18,3,Clear,Yes
Kishangarh-Renwal,26.7536,75.565,Pickpocket,14-06-2023,7:23,2,Stormy,No
C-Scheme,26.9124,75.7873,Robbery,11-07-2023,2:3,9,Stormy,Yes
Paota,27.3763,76.0405,Burglary,29-03-2023,20:45,7,Foggy,Yes
Amber,26.9948,75.8513,Murder,15-01-2023,19:10,3,Rainy,Yes
Sanganer,26.8191,75.8028,Robbery,17-05-2023,3:57,3,Rainy,Yes
Shahpura,27.3913,75.9595,Burglary,05-10-2023,5:18,9,Stormy,No
Bassi,26.8394,76.0411,Fraud,10-08-2023,22:43,5,Foggy,Yes
Mansarovar,26.8648,75.759,Murder,02-01-2023,2:3,6,Clear,Yes
Jamwa Ramgarh,26.964,75.876,Pickpocket,14-10-2023,5:51,3,Clear,No
Viratnagar,27.3189,76.1833,Vandalism,30-03-2023,12:45,9,Rainy,No
Gopalpura,26.8815,75.789,Pickpocket,17-02-2023,16:10,1,Foggy,No
Phagi,26.5873,75.6671,Pickpocket,09-06-2023,2:14,7,Clear,No
Bapu Nagar,26.8926,75.812,Theft,28-04-2023,17:2,10,Clear,Yes
Kishangarh-Renwal,26.7536,75.565,Burglary,30-03-2023,6:1,3,Stormy,No
Sindhi Camp,26.9216,75.796,Assault,18-11-2023,12:23,9,Rainy,No
